id;site;xx;template;engine
1983;:ke:CIB:Transaction Banking:BOL - Business Online:UTR06916;48;authentication-test-ssh;
1984;:na:CIB:Transaction Banking:Enhanced Collections:UTR03648;123;authentication-test-ssh;
1985;:za:CIB:Global Markets:RET - Refinitiv Electronic Trading:UTR07228;15;_-new-template_-discovery-scan-with-credentials-copy;
1986;:za:CIB:CIB TS - Operations:SSER - Safe Settlements Repository:UTR08381;15;_-new-template_-discovery-scan-with-credentials-copy;
1987;:za:CIB:CIB TS - Operations:VOLI:UTR06849;15;_-new-template_-discovery-scan-with-credentials-copy;
1988;:za:CIB:CIB TS - Corporate Functions:Credit Risk Manager:UTR05384;15;_-new-template_-discovery-scan-with-credentials-copy;
1989;:intl:CIB:CIB TS - Operations:Workfusion Robotics:UTR02074;127;authentication-test-ssh;
1990;:ao:CIB:Transaction Banking:Host to Host Angola:UTR06805;52;authentication-test-ssh;
1991;:za:PPB:Standard Bank Offshore:SAP Wealth BS - Banking Services:UTR03185;15;_-new-template_-discovery-scan-with-credentials-copy;
1992;:za:PPB:Standard Trust Limited:Legalease:UTR06456;15;_-new-template_-discovery-scan-with-credentials-copy;
1993;:za:PPB:Infrastructure Production Services:Remedy:UTR05075;15;_-new-template_-discovery-scan-with-credentials-copy;
1994;:za:PPB:Fraud Management:Fraud Lead System:UTR03686;15;_-new-template_-discovery-scan-with-credentials-copy;
1995;:za:PPB:Integration Platforms:Connect Direct South Africa:UTR06539;15;_-new-template_-discovery-scan-with-credentials-copy;
1996;:za:PPB:IT Security:PKO - Public Key Operation:UTR05786;15;_-new-template_-discovery-scan-with-credentials-copy;
1997;:za:PPB:Lending Products:Home Services Facades and APIs:UTR01277;15;_-new-template_-discovery-scan-with-credentials-copy;
1998;:za:PPB:Lending Products:Home Services OS/2:UTR03895;15;_-new-template_-discovery-scan-with-credentials-copy;
1999;:za:PPB:Infrastructure Production Services:IBM Integration Bus South Africa:UTR01951;15;_-new-template_-discovery-scan-with-credentials-copy;
2000;:za:PPB:Africa Regions:Finacle Core Banking:UTR05463;15;_-new-template_-discovery-scan-with-credentials-copy;
2001;:za:PPB:Everyday Banking:AO AMS - Omni Channel:UTR07213;15;_-new-template_-discovery-scan-with-credentials-copy;
2002;:za:PPB:Digital and eCommerce:Online Banking IBR:UTR05976;15;_-new-template_-discovery-scan-with-credentials-copy;
2003;:za:PPB:Payments:PBB Digital Transactional Banking - Payments:UTR06365;15;_-new-template_-discovery-scan-with-credentials-copy;
2004;:za:PPB:Africa Regions:AR Internet Banking:UTR04567;15;_-new-template_-discovery-scan-with-credentials-copy;
2005;:za:PPB:Payments:Immediate Payments:UTR06526;15;_-new-template_-discovery-scan-with-credentials-copy;
2006;:za:PPB:Digital and eCommerce:Customer Mobile Platform:UTR06401;15;_-new-template_-discovery-scan-with-credentials-copy;
2007;:za:PPB:Lending Products:Home Services Domain Mobile APIs:UTR07403;15;_-new-template_-discovery-scan-with-credentials-copy;
2008;:za:PPB:Payments:VAS Strategic Platform:UTR06880;15;_-new-template_-discovery-scan-with-credentials-copy;
2009;:za:PPB:Payments:Order Management:UTR07663;15;_-new-template_-discovery-scan-with-credentials-copy;
2010;:za:PPB:Fraud Management:FICO Falcon Fraud Manager:UTR06235;15;_-new-template_-discovery-scan-with-credentials-copy;
2011;:za:PPB:Digital and eCommerce:USSD:UTR06220;15;_-new-template_-discovery-scan-with-credentials-copy;
2012;:za:PPB:Lending Products:Home Services CDL (Cyber Deeds Lodgement):UTR04033;15;_-new-template_-discovery-scan-with-credentials-copy;
2013;:za:PPB:Core Banking:SAP Core Banking BW - SAP Business Warehouse:UTR01166;15;_-new-template_-discovery-scan-with-credentials-copy;
2014;:za:PPB:IT Security:NOK NOK:UTR07102;15;_-new-template_-discovery-scan-with-credentials-copy;
2015;:za:PPB:IT Security:Ping Access:UTR05965;15;_-new-template_-discovery-scan-with-credentials-copy;
2016;:za:PPB:IT Security:Ping Directory:UTR07207;15;_-new-template_-discovery-scan-with-credentials-copy;
2017;:za:PPB:IT Security:Pin View ZKP HSM:UTR07153;15;_-new-template_-discovery-scan-with-credentials-copy;
2018;:za:PPB:IT Security:Axiomatics:UTR05968;15;_-new-template_-discovery-scan-with-credentials-copy;
2019;:za:PPB:Infrastructure Production Services:Mobius View:UTR05994;15;_-new-template_-discovery-scan-with-credentials-copy;
2020;:za:PPB:Infrastructure Production Services:IBM Sterling File Gateway:UTR07246;15;_-new-template_-discovery-scan-with-credentials-copy;
2021;:za:PPB:Lending Products:Home Services ILO (Internet Loan Origination):UTR06153;15;_-new-template_-discovery-scan-with-credentials-copy;
2022;:za:PPB:Credit:PowerCurve (PCO):UTR05984;15;_-new-template_-discovery-scan-with-credentials-copy;
